# A3
B4;Bures sur Yvette;La Hacquiniere;0.0
B4;Bures sur Yvette;Orsay la Ville;0.0
B4;Orsay la Ville;Bures sur Yvette;0.0
B4;Orsay la Ville;Le Guichet;0.0
B4;Le Guichet;Orsay la Ville;0.0
B4;Le Guichet;Lozere;0.0
B4;Lozere;Le Guichet;0.0
B4;Lozere;Palaiseau Villebon;0.0
B4;Palaiseau Villebon;Lozere;0.0
B4;Palaiseau Villebon;Palaiseau;0.0
B4;Palaiseau;Palaiseau Villebon;0.0
B4;Palaiseau;Massy Palaiseau;0.0
B4;Massy Palaiseau;Palaiseau;0.0
B4;Massy Palaiseau;Massy Verrieres;0.0
B4;Massy Verrieres;Massy Palaiseau;0.0
B4;Massy Verrieres;Les Baconnets;0.0
B4;Les Baconnets;Massy Verrieres;0.0
B4;Les Baconnets;Fontaine Michalon;0.0
B4;Fontaine Michalon;Les Baconnets;0.0
B4;Fontaine Michalon;Antony;0.0
B4;Antony;Fontaine Michalon;0.0
B4;Antony;La Croix Berny;0.0
B4;La Croix Berny;Antony;0.0
B4;La Croix Berny;Parc de Sceaux;0.0
B4;Parc de Sceaux;La Croix Berny;0.0
B4;Parc de Sceaux;Bourg la Reine;0.0
B4;Bourg la Reine;Parc de Sceaux;0.0
# B2
B2;Robinson;Fontenay aux Roses;0.0
B2;Fontenay aux Roses;Robinson;0.0
B2;Fontenay aux Roses;Sceaux;0.0
B2;Sceaux;Fontenay aux Roses;0.0
B2;Sceaux;Bourg la Reine;0.0
B2;Bourg la Reine;Sceaux;0.0
# B
B;Bourg la Reine;Bagneux;0.0
B;Bagneux;Bourg la Reine;0.0
B;Bagneux;Arcueil Cachan;0.0
B;Arcueil Cachan;Bagneux;0.0
B;Arcueil Cachan;Laplace;0.0
B;Laplace;Arcueil Cachan;0.0
B;Laplace;Gentilly;0.0
B;Gentilly;Laplace;0.0
B;Gentilly;Cite Universitaire;0.0
B;Cite Universitaire;Gentilly;0.0
B;Cite Universitaire;Denfert Rochereau;0.0
